userid,placeid,rating
1,4,2
1,5,1
1,3,2
1,12,2
1,17,1
1,20,4
1,9,3
1,21,3
1,22,3
1,23,4
1,25,2
1,26,2
1,27,3
1,28,3
1,29,3
1,30,3
1,31,4
1,32,4
1,33,4
1,34,3
2,4,2
2,1,2
2,3,1
2,10,1
2,11,1
2,12,1
2,14,1
2,7,2
2,16,2
2,17,2
2,19,4
2,9,3
2,21,3
2,22,3
2,23,3
2,27,2
2,28,3
2,29,3
2,30,3
3,5,1
3,10,3
3,15,1
3,20,3
3,21,2
3,28,1
4,4,2
4,5,2
4,11,2
4,12,2
4,13,2
4,7,2
4,16,2
4,17,2
4,20,3
4,9,2
4,21,2
4,27,4
5,4,2
5,1,2
5,3,2
5,10,2
5,11,2
5,12,2
5,14,2
5,15,2
5,17,2
5,18,2
5,9,3
5,21,3
5,23,4
5,25,2
5,27,3
5,28,2
5,29,2
5,30,2
5,31,3
5,32,3
5,33,3
5,34,2
6,4,2
6,1,2
6,5,2
6,6,2
6,3,2
6,10,2
6,11,2
6,12,2
6,13,2
6,14,2
6,7,2
6,8,2
6,15,2
6,16,2
6,17,2
6,18,2
6,19,3
6,20,3
6,9,2
6,21,2
6,22,2
6,27,2
6,28,2
6,30,2
6,31,3
6,32,3
7,4,2
7,5,2
7,3,2
7,17,2
7,20,3
7,21,2
7,27,4
7,28,2
7,31,3
8,4,1
8,1,1
8,11,2
8,12,2
8,14,2
8,16,1
8,17,1
8,19,2
8,21,3
8,27,3
9,5,1
9,11,2
9,12,2
9,7,1
9,16,1
9,17,1
9,18,1
9,20,4
9,9,3
9,21,3
9,24,3
9,27,3
9,28,3
9,33,4
9,34,3
10,4,4
10,12,5
10,19,1
10,9,1
10,33,1
11,4,2
11,5,2
11,11,2
11,12,2
11,16,2
11,17,2
11,19,3
11,20,4
11,21,3
11,24,3
12,4,3
12,1,3
12,5,3
12,11,2
12,12,2
12,13,2
12,7,3
12,8,3
12,20,3
12,9,2
12,21,2
12,24,3
12,27,3
12,28,2
13,4,1
13,3,1
13,7,1
13,20,3
13,21,4
13,31,1
14,4,4
14,5,2
14,3,2
14,7,2
14,8,2
14,15,2
14,16,2
14,17,2
14,18,2
14,20,3
14,9,2
14,21,2
14,22,2
14,24,3
14,25,1
14,28,2
15,4,4
15,5,2
15,10,3
15,11,3
15,8,2
15,16,2
15,20,2
15,21,1
15,27,2
15,28,2
15,33,2
16,4,2
16,1,1
16,5,1
16,3,3
16,10,3
16,11,3
16,12,3
16,7,1
16,17,1
16,20,3
16,9,2
16,21,2
16,22,2
16,25,1
16,28,2
16,32,3
17,4,3
17,5,3
17,3,2
17,10,2
17,11,2
17,7,3
17,8,3
17,15,3
17,16,3
17,17,3
17,18,3
17,19,4
17,20,4
17,9,3
17,21,3
17,22,3
17,23,4
17,24,4
17,25,2
17,26,2
17,27,3
17,28,1
17,29,1
18,4,1
18,5,1
18,3,1
18,7,1
18,19,3
18,21,4
18,31,1
19,4,2
19,1,2
19,5,2
19,3,2
19,10,2
19,11,2
19,13,2
19,14,2
19,7,2
19,15,2
19,16,2
19,17,2
19,18,2
19,19,1
19,20,3
19,9,2
19,21,2
19,22,2
19,24,1
19,25,1
19,26,1
19,28,2
19,29,2
19,31,3
19,33,3
20,4,2
20,5,1
20,11,3
20,17,1
20,20,2
20,9,1
20,21,1
20,27,2
20,28,4
21,4,2
21,1,2
21,10,2
21,11,2
21,12,2
21,16,2
21,17,2
21,20,4
21,9,3
21,21,3
21,27,3
21,28,2
22,4,2
22,5,2
22,11,2
22,7,2
22,8,2
22,17,2
22,20,3
22,9,2
22,21,2
22,24,1
22,25,1
22,28,2
23,4,2
23,1,2
23,3,2
23,11,2
23,12,2
23,7,2
23,15,2
23,16,2
23,17,2
23,20,3
23,9,2
23,21,2
23,23,3
23,27,4
23,28,2
23,31,3
23,32,3
23,34,2
24,4,4
24,5,4
24,10,1
24,12,1
24,7,4
24,8,4
24,16,4
24,20,1
24,21,1
24,22,1
24,23,1
24,27,1
24,28,1
24,32,1
25,4,4
25,11,2
25,18,4
25,19,1
25,9,1
25,21,1
25,22,1
25,25,1
26,4,5
26,5,2
26,7,2
26,16,2
26,19,2
26,9,1
26,21,1
26,28,1
27,4,2
27,5,2
27,3,3
27,11,3
27,8,2
27,20,2
27,9,1
27,23,2
27,28,2
27,29,2
28,4,1
28,11,1
