ID,Age,1tatu1,Genre
1,23,1,0
2,19,1,0
3,19,1,1
4,19,1,0
5,20,1,1
6,20,1,1
7,21,1,0
8,21,1,0
9,19,1,0
10,21,1,0
11,20,1,0
12,20,1,0
13,27,1,1
14,22,1,0
15,20,1,0
16,20,1,0
17,20,0,1
18,27,1,1
19,19,1,0
20,25,1,0
21,19,1,0
22,19,1,0
23,26,1,0
24,28,1,1
25,31,0,0
26,21,1,0
27,25,1,1
28,20,1,0
29,22,1,0
30,20,1,1
31,23,1,0
32,22,1,0
33,20,1,1
34,20,1,1
35,19,1,0
36,20,1,0
37,19,1,0
38,20,1,0
39,19,1,0
40,19,1,1
41,20,1,0
42,20,1,0
43,19,1,0
44,19,1,0
45,19,1,1
46,23,1,0
47,22,1,0
48,24,1,1
49,32,1,1
50,21,1,1
51,32,1,1
52,21,1,0
53,21,1,0
54,21,1,0
55,22,1,0
56,19,1,0
57,29,0,1
58,22,1,0
59,23,1,0
60,27,1,0
61,23,1,0
62,24,1,1
